date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
1/1/2014,15,5,0,8.7,4,0,6:12 AM,5:04 PM,6:52 AM,5:03 PM,-1,11,12,11,17,0,43,0,1021,15,10,242,12,shanghai
1/2/2014,14,7,0,8.7,4,2,7:10 AM,6:12 PM,6:53 AM,5:04 PM,4,11,13,11,21,3,60,0,1019,14,10,141,14,shanghai
1/3/2014,16,9,0,8.7,4,10,8:02 AM,7:22 PM,6:53 AM,5:05 PM,3,11,12,11,21,26,55,0,1017,16,10,295,14,shanghai
1/4/2014,10,4,0,5.5,2,17,8:49 AM,8:29 PM,6:53 AM,5:05 PM,3,7,9,7,17,24,68,0.1,1022,10,10,169,14,shanghai
1/5/2014,10,3,0,8.7,3,24,9:32 AM,9:35 PM,6:53 AM,5:06 PM,3,9,9,9,9,12,66,0,1024,10,10,117,6,shanghai
1/6/2014,11,5,0,8.7,3,31,10:11 AM,10:37 PM,6:53 AM,5:07 PM,5,7,9,7,27,4,73,0,1024,11,10,120,19,shanghai
1/7/2014,12,9,0,5.5,3,39,10:50 AM,11:39 PM,6:53 AM,5:08 PM,8,8,10,8,23,68,88,0.2,1019,12,9,200,15,shanghai
1/8/2014,9,4,0,4,2,46,11:28 AM,No moonset,6:53 AM,5:09 PM,5,4,8,4,33,83,82,0,1024,9,10,294,23,shanghai
1/9/2014,5,2,0,8.7,2,53,12:05 PM,12:37 AM,6:54 AM,5:09 PM,-2,1,4,1,20,12,63,0,1033,5,10,158,16,shanghai
1/10/2014,7,1,0,8.7,2,61,12:45 PM,1:34 AM,6:54 AM,5:10 PM,0,4,6,4,15,18,63,0,1033,7,10,93,11,shanghai
1/11/2014,7,5,0,4,2,68,1:27 PM,2:29 AM,6:54 AM,5:11 PM,3,3,6,3,23,100,81,1.7,1031,7,6,81,15,shanghai
1/12/2014,9,4,0,5.5,2,75,2:11 PM,3:23 AM,6:53 AM,5:12 PM,2,3,6,3,21,64,78,3,1031,9,9,96,14,shanghai
1/13/2014,6,3,0,7.1,1,82,2:58 PM,4:14 AM,6:53 AM,5:13 PM,0,2,5,2,22,78,69,0,1032,6,10,26,16,shanghai
1/14/2014,7,2,0,7.1,2,90,3:48 PM,5:02 AM,6:53 AM,5:14 PM,0,2,5,2,18,19,67,0.1,1032,7,10,13,14,shanghai
1/15/2014,7,1,0,8.7,2,97,4:38 PM,5:47 AM,6:53 AM,5:15 PM,0,4,6,4,14,2,64,0,1034,7,10,161,11,shanghai
1/16/2014,10,2,0,8.7,3,100,5:31 PM,6:29 AM,6:53 AM,5:15 PM,3,6,7,6,13,16,73,0,1029,10,10,123,9,shanghai
